id,name,description,price
502,Ruthann,Mandatory,31496
503,Shandeigh,functionalities,49241
504,Faustina,pricing structure,28314
505,Sigrid,Down-sized,9317
506,Elbert,neural-net,35768
507,Tabor,Phased,37505
508,Kial,methodology,12237
509,Clio,Secured,8284
510,Monty,leading edge,26779
511,Siana,Seamless,24326
512,Kimball,Profit-focused,43561
513,Melly,Exclusive,25132
514,Kristal,radical,2991
515,Jarib,fault-tolerant,26320
516,Link,monitoring,5340
517,Jan,bandwidth-monitored,12325
518,Georas,asynchronous,17913
519,Kylie,adapter,12836
520,Mead,Customizable,38838
521,Harvey,internet solution,35178
522,Kenon,asymmetric,27648
523,Jude,matrices,39339
524,Odele,firmware,18669
525,Nev,Object-based,28475
526,Melli,Automated,43158
527,Taber,Vision-oriented,11653
528,Crissy,function,30909
529,Lanette,heuristic,25836
530,Giorgia,fresh-thinking,36986
531,Mil,De-engineered,48309
532,Franciska,open architecture,41485
533,Elston,Horizontal,36402
534,Ely,cohesive,39627
535,Ynez,Realigned,40149
536,Quincy,local,7939
537,Joanie,global,20669
538,Aldon,extranet,34445
539,Demetra,directional,26442
540,Ajay,Enterprise-wide,45997
541,Barth,next generation,17410
542,Christine,scalable,3833
543,Edwina,flexibility,23632
544,Grazia,Virtual,18659
545,Silvester,Managed,31441
546,Svend,methodical,19854
547,Bibi,Phased,43416
548,Walsh,Down-sized,18219
549,Lizzie,parallelism,20024
550,Carey,stable,23347
551,Averil,bifurcated,34398
552,Rodger,definition,1714
553,Gizela,Mandatory,3679
554,Davide,matrices,13452
555,Hugibert,local area network,5923
556,Willetta,holistic,42742
557,Minette,task-force,1120
558,Bert,groupware,42236
559,Yoshiko,internet solution,6736
560,Murray,capability,5724
561,Zach,human-resource,15873
562,Claretta,fresh-thinking,21485
563,Wrennie,firmware,20491
564,Lolly,Exclusive,7082
565,Blair,concept,24718
566,Oswell,Polarised,22726
567,Ketty,capacity,3108
568,Kizzee,Proactive,19595
569,Humberto,attitude,30424
570,Joete,software,44200
571,Kara-lynn,Front-line,27317
572,Heloise,Team-oriented,29117
573,Kent,mobile,20758
574,Sosanna,Centralized,19328
575,Luis,functionalities,17571
576,Josephine,solution,18817
577,Basilio,coherent,47371
578,Aggi,portal,25913
579,Bret,Visionary,20373
580,Idelle,Triple-buffered,32922
581,Kassi,migration,4221
582,Samson,Advanced,42627
583,Harmonie,installation,23234
584,Nettie,Managed,17156
585,Vidovik,architecture,15606
586,Brannon,focus group,12401
587,Duke,Open-source,27668
588,Conny,Horizontal,27045
589,Paolo,portal,18427
590,Sherye,Future-proofed,12456
591,Agustin,protocol,16605
592,Gerry,artificial intelligence,45233
593,Kai,Universal,45077
594,Virgina,Persevering,28450
595,Konstantine,Compatible,41011
596,Kerri,3rd generation,10752
597,Tani,Fully-configurable,42275
598,Lari,instruction set,10962
599,Nobe,Assimilated,3579
600,Oneida,throughput,10698
601,Rudolfo,Future-proofed,31332
602,Dewain,Upgradable,13349
603,Chrissy,tangible,4597
604,Sybilla,Reduced,45347
605,Gisella,Seamless,8592
606,Raynell,groupware,5915
607,Tobie,multi-tasking,32117
608,Ava,radical,37737
609,Dar,function,11601
610,Mason,client-server,2213
611,Boigie,clear-thinking,34581
612,Tyne,leverage,16186
613,Danya,Diverse,39352
614,Donnie,implementation,45909
615,Jolyn,3rd generation,31752
616,Orazio,Synergistic,19603
617,Leesa,Intuitive,47674
618,Winifred,Cross-group,30802
619,Emilee,cohesive,19354
620,Hanson,real-time,6370
621,Maure,instruction set,25121
622,Sybilla,system engine,28606
623,Prinz,standardization,43670
624,Sallee,multimedia,17570
625,Maurie,Ameliorated,9410
626,Adriane,Face to face,15698
627,Kleon,paradigm,29536
628,Dotty,capability,35441
629,Matelda,Vision-oriented,4803
630,Dredi,Progressive,36073
631,Verile,Graphical User Interface,6641
632,Kimberley,neutral,14815
633,Ole,toolset,42111
634,Aldrich,mobile,14802
635,Carrie,Public-key,28350
636,Hesther,Robust,16563
637,Melisse,dynamic,4987
638,Lora,throughput,6930
639,Tomas,knowledge user,3349
640,Janela,Programmable,43300
641,Steffie,Ameliorated,10200
642,Bartlett,support,9027
643,Rebeka,User-centric,14371
644,Chad,coherent,20539
645,Carolynn,algorithm,43262
646,Kathye,capability,32041
647,Etienne,hierarchy,48050
648,Kellie,regional,20532
649,Shannen,interface,30673
650,Rad,non-volatile,41395
651,Edmon,conglomeration,46444
652,Rikki,contextually-based,39611
653,Myles,challenge,45604
654,Sarine,Sharable,33136
655,Marti,background,16899
656,Ilaire,open system,26749
657,Aron,foreground,13620
658,Fania,array,25818
659,Berkie,hierarchy,45407
660,Larisa,Monitored,42294
661,Jaquenette,Organized,47223
662,Jerrie,artificial intelligence,3202
663,Pauli,focus group,29747
664,Agustin,Secured,30986
665,Roselle,Robust,11092
666,Gallagher,encryption,36763
667,Morie,support,33953
668,Gay,context-sensitive,29326
669,Haley,full-range,8671
670,Dorris,Triple-buffered,36473
671,Sisile,encryption,37675
672,Ashley,didactic,29918
673,Erich,Extended,42036
674,Sasha,Synergistic,5736
675,Mallissa,user-facing,2294
676,Salvidor,didactic,42248
677,Vanya,static,21696
678,Gratiana,local,43686
679,Ethe,protocol,32259
680,Jacqueline,implementation,39125
681,Rycca,zero defect,3564
682,Ashley,approach,3365
683,Cheri,encompassing,8998
684,Mord,function,23714
685,Lannie,Decentralized,15813
686,Arley,customer loyalty,49831
687,Ole,help-desk,39785
688,Worth,executive,35130
689,Brucie,structure,42020
690,Vaclav,open system,8436
691,Evvie,Networked,24355
692,Augustine,Public-key,3032
693,Mureil,conglomeration,33475
694,Missy,Exclusive,33322
695,Melly,static,12739
696,Banky,Open-architected,15810
697,Hendrick,portal,4587
698,Jenine,Multi-channelled,23578
699,Barbara,parallelism,28941
700,Jaimie,Diverse,16951
701,Ben,contextually-based,22851
702,Atlanta,policy,28538
703,Debora,Persevering,19641
704,Franny,access,39280
705,Hammad,moratorium,34256
706,Alyssa,Optimized,14181
707,Kessia,moderator,34649
708,Roi,alliance,39836
709,Whitaker,installation,33457
710,Tim,alliance,9058
711,Doralia,impactful,11412
712,Malynda,encryption,40406
713,Stanwood,pricing structure,12182
714,Herb,implementation,7863
715,Viole,content-based,49137
716,Ethelred,demand-driven,7752
717,Curr,modular,8336
718,Brande,impactful,4513
719,Domenic,Cloned,20923
720,Ettie,scalable,44962
721,Alexandros,fresh-thinking,14223
722,Marti,secured line,46061
723,Georgy,Function-based,6574
724,Cissy,Function-based,8210
725,Sawyer,system engine,19704
726,Harlen,intranet,27366
727,Julita,systematic,34876
728,Caron,Multi-tiered,45296
729,Shelli,Vision-oriented,32799
730,Jacenta,Seamless,6498
731,Vanni,bandwidth-monitored,27004
732,Hussein,focus group,10320
733,Tibold,encryption,23803
734,Lebbie,Focused,41934
735,Artair,circuit,7853
736,Brett,process improvement,3029
737,Marian,Decentralized,44441
738,Lynn,fault-tolerant,16997
739,Mortie,Expanded,41105
740,Joellyn,executive,30221
741,Alexandrina,Enhanced,7493
742,Clemens,Innovative,25284
743,Ulric,Managed,23566
744,Gerladina,solution-oriented,30594
745,Michel,collaboration,30749
746,Alessandro,asynchronous,10409
747,Stearn,national,5756
748,Antone,product,9558
749,Jarrid,local,39763
750,Dmitri,matrix,22689
751,Artemus,array,33648
752,Nari,Seamless,39157
753,Averell,Open-architected,47526
754,Abie,website,13202
755,Ced,task-force,17128
756,Travus,logistical,2899
757,Rainer,time-frame,15924
758,Ugo,well-modulated,19880
759,Max,hierarchy,34166
760,Dani,local,27453
761,Anneliese,middleware,1129
762,Marquita,zero defect,22840
763,Carroll,ability,43334
764,Maddie,Cross-group,45648
765,Muriel,benchmark,5932
766,Ulrikaumeko,array,42756
767,Asia,systemic,41385
768,Barb,intranet,19920
769,Skelly,explicit,4871
770,Mylo,mission-critical,24976
771,Johnette,Optional,47215
772,Faun,pricing structure,49309
773,Trueman,Open-architected,11286
774,Nikkie,heuristic,46100
775,Bertrando,algorithm,39034
776,Maxi,workforce,2599
777,Vivienne,User-centric,1773
778,Winona,fresh-thinking,28438
779,Christen,Streamlined,2949
780,Chadd,Vision-oriented,29947
781,Percy,Centralized,46799
782,Delora,circuit,20797
783,Mona,collaboration,38625
784,Diana,superstructure,14113
785,Janeta,Optional,31932
786,Sax,encryption,38385
787,Burke,24/7,43825
788,Kile,Organized,16996
789,Abbey,internet solution,42798
790,Cordy,Operative,17898
791,Sonni,portal,23443
792,Madelon,knowledge base,24745
793,Ardyth,explicit,41000
794,Ferdinanda,Ameliorated,29863
795,Kipper,Function-based,17492
796,Merrill,dynamic,25555
797,Eberto,neutral,49854
798,Aleen,impactful,10789
799,Grazia,Vision-oriented,29234
800,Isac,website,12338
801,Hamlen,scalable,18056
802,Blake,24 hour,14897
803,Dalenna,superstructure,44345
804,Brocky,Universal,18080
805,Adler,Future-proofed,31299
806,Jedidiah,knowledge user,45849
807,Niki,Robust,4411
808,Franklyn,mission-critical,40642
809,Currey,Up-sized,8721
810,Helaine,methodology,29902
811,Angie,parallelism,27747
812,Maible,Graphic Interface,8151
813,Ives,help-desk,3012
814,Jabez,Visionary,11898
815,Dar,Open-architected,28645
816,Roze,stable,20110
817,Nil,zero defect,43125
818,Lee,ability,40101
819,Cairistiona,Ameliorated,38868
820,Catina,Self-enabling,15228
821,Hagan,time-frame,43707
822,Heidie,adapter,5824
823,Codee,knowledge base,43397
824,Christian,adapter,10113
825,Katrinka,matrix,26840
826,Ashly,project,19745
827,Gerianne,user-facing,49470
828,Kirby,throughput,33884
829,Virgie,Balanced,47012
830,Aura,Networked,6452
831,Ciro,artificial intelligence,4018
832,Hamish,migration,17017
833,Eveleen,utilisation,28904
834,Nydia,Mandatory,17904
835,Baudoin,emulation,12966
836,Teador,24 hour,37156
837,Eamon,motivating,7704
838,Winny,secondary,47239
839,Shaylah,context-sensitive,18710
840,Katrine,discrete,31127
841,Dulcea,Intuitive,7324
842,Loleta,adapter,28733
843,Peterus,complexity,15629
844,Fernande,paradigm,10720
845,Estele,Mandatory,49155
846,Dorey,moratorium,24366
847,Marin,Vision-oriented,42383
848,Cornelius,internet solution,30165
849,Lilas,global,16924
850,Kandy,attitude,15796
851,Conchita,Programmable,19133
852,Jaclin,Grass-roots,16618
853,Delphinia,Pre-emptive,17863
854,Burk,fault-tolerant,33039
855,Kathe,Function-based,28229
856,Suki,Managed,16202
857,Edi,access,27416
858,Geoffrey,Vision-oriented,23334
859,Klemens,encoding,27407
860,Corinna,flexibility,8737
861,Broddie,Reactive,48999
862,Ilse,collaboration,18958
863,Sollie,radical,5269
864,Bret,regional,9277
865,Giacomo,internet solution,30459
866,Ruprecht,Multi-layered,6821
867,Sibilla,Monitored,38435
868,Allyn,adapter,40922
869,Philippa,intranet,6933
870,Shannah,functionalities,12429
871,Harwilll,Seamless,24082
872,Agace,bi-directional,21533
873,Mariam,time-frame,2942
874,Jeannine,analyzing,10777
875,Kelly,info-mediaries,23348
876,Rikki,value-added,46713
877,Willow,intermediate,40169
878,Marylee,internet solution,18767
879,Ailey,interface,12743
880,Richardo,Customer-focused,35738
881,Hewe,Cloned,1728
882,Marcos,Stand-alone,7414
883,Uri,Profit-focused,48044
884,Marianna,tertiary,28773
885,Isadore,neural-net,31537
886,Berni,Reduced,6536
887,Quinlan,focus group,40319
888,Natassia,groupware,8221
889,Devonne,flexibility,39079
890,Agathe,Pre-emptive,16940
891,Leanora,Streamlined,21015
892,Steffi,Multi-channelled,45439
893,Natalina,Horizontal,39690
894,Babita,Robust,44111
895,Vally,clear-thinking,27224
896,Rogers,Self-enabling,48242
897,Katrinka,Monitored,28251
898,Catie,Implemented,47976
899,Micaela,Persistent,3690
900,Filide,algorithm,1665
901,Kristi,Front-line,27446
902,Milissent,extranet,42862
903,Curtis,initiative,20852
904,Iver,Fully-configurable,46742
905,Hester,foreground,14585
906,Phedra,leading edge,4642
907,Christen,Profound,8877
908,Estelle,needs-based,6617
909,Lauren,Distributed,3557
910,Erwin,application,34079
911,Allianora,didactic,13869
912,Sammie,Quality-focused,12743
913,Stanton,leverage,42622
914,Vicki,collaboration,34973
915,Cathryn,software,45578
916,Jecho,knowledge base,48105
917,Constance,Streamlined,14253
918,Dulce,Digitized,11104
919,Dahlia,responsive,46578
920,Betteann,extranet,44000
921,Jdavie,Optimized,44822
922,Shermy,solution-oriented,15690
923,Pooh,analyzing,43876
924,Addia,collaboration,44124
925,Consolata,frame,27320
926,Anallise,explicit,12568
927,Chrissy,executive,4430
928,Leigh,function,22660
929,Thor,static,36543
930,Shannon,benchmark,9786
931,Flem,Decentralized,44983
932,Merrick,multi-state,13691
933,Melina,real-time,34127
934,Chickie,Re-contextualized,21911
935,Dareen,Digitized,8357
936,Debee,disintermediate,38998
937,Dav,open architecture,20209
938,Nanci,throughput,15603
939,Wallas,monitoring,38840
940,Jacklyn,Progressive,44462
941,Rebekkah,knowledge user,47953
942,Alvera,discrete,20318
943,Neal,open architecture,6357
944,Kessia,Polarised,32160
945,Robbie,hybrid,31960
946,Odelia,demand-driven,44271
947,Son,Fully-configurable,47669
948,Joete,standardization,46762
949,Lek,maximized,47177
950,Malina,Organized,27908
951,Nichols,model,24191
952,Alex,project,28388
953,Rhodia,parallelism,5557
954,Neil,ability,36638
955,Ingar,optimizing,3402
956,Abrahan,intangible,36027
957,Sindee,service-desk,19361
958,Ruthann,even-keeled,35783
959,Lynett,foreground,13045
960,Warde,paradigm,34261
961,Mozelle,middleware,6905
962,Neville,Switchable,27652
963,Barbabas,reciprocal,34858
964,Valerie,analyzing,23560
965,Brandie,global,40200
966,Ashlan,Innovative,29515
967,Pavia,Open-architected,17141
968,Shandeigh,Intuitive,23535
969,Reinaldo,Future-proofed,35991
970,Esme,website,39138
971,Doretta,multimedia,2077
972,Goraud,core,13974
973,Ania,mobile,8604
974,Alida,functionalities,43543
975,Franky,bi-directional,34296
976,Brant,standardization,23124
977,Micaela,Cloned,13011
978,Noemi,value-added,29132
979,Kathy,web-enabled,6849
980,Ricki,Visionary,19453
981,Rayshell,Centralized,17576
982,Henrietta,attitude-oriented,39827
983,Jorie,user-facing,47553
984,Mildrid,hybrid,7337
985,Nani,Reactive,39421
986,Bailey,Managed,37243
987,Gena,complexity,30908
988,Jean,web-enabled,45405
989,Teodoro,Assimilated,30294
990,Maddy,Integrated,38616
991,Gael,algorithm,25673
992,Chere,local area network,25846
993,Vassily,zero administration,8830
994,Marion,Persevering,10810
995,Deeann,value-added,22360
996,Matty,Mandatory,5952
997,Nichole,superstructure,36103
998,Patrice,cohesive,45697
999,Bell,object-oriented,30364
1000,Janetta,demand-driven,36931
